website_session_id,pageview_count,session_duration_seconds,converted,order_revenue_usd,gross_profit_usd
1,1,0.0,0,0.000000,0.000000
2,1,0.0,0,0.000000,0.000000
3,1,0.0,0,0.000000,0.000000
4,1,0.0,0,0.000000,0.000000
5,1,0.0,0,0.000000,0.000000
6,6,846.0,0,0.000000,0.000000
7,1,0.0,0,0.000000,0.000000
8,1,0.0,0,0.000000,0.000000
9,1,0.0,0,0.000000,0.000000
10,1,0.0,0,0.000000,0.000000
11,1,0.0,0,0.000000,0.000000
12,1,0.0,0,0.000000,0.000000
13,1,0.0,0,0.000000,0.000000
14,1,0.0,0,0.000000,0.000000
15,3,500.0,0,0.000000,0.000000
16,2,332.0,0,0.000000,0.000000
17,1,0.0,0,0.000000,0.000000
18,4,386.0,0,0.000000,0.000000
19,1,0.0,0,0.000000,0.000000
20,7,1188.0,1,49.990000,30.500000
21,1,0.0,0,0.000000,0.000000
22,1,0.0,0,0.000000,0.000000
23,1,0.0,0,0.000000,0.000000
24,1,0.0,0,0.000000,0.000000
25,1,0.0,0,0.000000,0.000000
26,1,0.0,0,0.000000,0.000000
27,2,345.0,0,0.000000,0.000000
28,1,0.0,0,0.000000,0.000000
29,1,0.0,0,0.000000,0.000000
30,2,268.0,0,0.000000,0.000000
31,1,0.0,0,0.000000,0.000000
32,1,0.0,0,0.000000,0.000000
33,3,128.0,0,0.000000,0.000000
34,3,299.0,0,0.000000,0.000000
35,1,0.0,0,0.000000,0.000000
36,1,0.0,0,0.000000,0.000000
37,1,0.0,0,0.000000,0.000000
38,1,0.0,0,0.000000,0.000000
39,3,229.0,0,0.000000,0.000000
40,3,354.0,0,0.000000,0.000000
41,3,104.0,0,0.000000,0.000000
42,3,318.0,0,0.000000,0.000000
43,1,0.0,0,0.000000,0.000000
44,1,0.0,0,0.000000,0.000000
45,1,0.0,0,0.000000,0.000000
46,4,628.0,0,0.000000,0.000000
47,1,0.0,0,0.000000,0.000000
48,2,150.0,0,0.000000,0.000000
49,6,801.0,0,0.000000,0.000000
50,1,0.0,0,0.000000,0.000000
51,1,0.0,0,0.000000,0.000000
52,3,212.0,0,0.000000,0.000000
53,1,0.0,0,0.000000,0.000000
54,3,367.0,0,0.000000,0.000000
55,1,0.0,0,0.000000,0.000000
56,1,0.0,0,0.000000,0.000000
57,1,0.0,0,0.000000,0.000000
58,5,814.0,0,0.000000,0.000000
59,1,0.0,0,0.000000,0.000000
60,1,0.0,0,0.000000,0.000000
61,1,0.0,0,0.000000,0.000000
62,2,67.0,0,0.000000,0.000000
63,2,133.0,0,0.000000,0.000000
64,2,192.0,0,0.000000,0.000000
65,1,0.0,0,0.000000,0.000000
66,1,0.0,0,0.000000,0.000000
67,1,0.0,0,0.000000,0.000000
68,1,0.0,0,0.000000,0.000000
69,1,0.0,0,0.000000,0.000000
70,1,0.0,0,0.000000,0.000000
71,1,0.0,0,0.000000,0.000000
72,1,0.0,0,0.000000,0.000000
73,3,359.0,0,0.000000,0.000000
74,1,0.0,0,0.000000,0.000000
75,1,0.0,0,0.000000,0.000000
76,3,404.0,0,0.000000,0.000000
77,1,0.0,0,0.000000,0.000000
78,1,0.0,0,0.000000,0.000000
79,2,330.0,0,0.000000,0.000000
80,1,0.0,0,0.000000,0.000000
81,3,408.0,0,0.000000,0.000000
82,1,0.0,0,0.000000,0.000000
83,1,0.0,0,0.000000,0.000000
84,1,0.0,0,0.000000,0.000000
85,1,0.0,0,0.000000,0.000000
86,1,0.0,0,0.000000,0.000000
87,3,304.0,0,0.000000,0.000000
88,1,0.0,0,0.000000,0.000000
89,1,0.0,0,0.000000,0.000000
90,6,779.0,0,0.000000,0.000000
91,1,0.0,0,0.000000,0.000000
92,1,0.0,0,0.000000,0.000000
93,1,0.0,0,0.000000,0.000000
94,1,0.0,0,0.000000,0.000000
95,1,0.0,0,0.000000,0.000000
96,1,0.0,0,0.000000,0.000000
97,4,768.0,0,0.000000,0.000000
98,1,0.0,0,0.000000,0.000000
99,1,0.0,0,0.000000,0.000000
100,6,678.0,0,0.000000,0.000000
101,2,221.0,0,0.000000,0.000000
102,1,0.0,0,0.000000,0.000000
103,1,0.0,0,0.000000,0.000000
104,7,813.0,1,49.990000,30.500000
105,1,0.0,0,0.000000,0.000000
106,1,0.0,0,0.000000,0.000000
107,4,713.0,0,0.000000,0.000000
108,3,362.0,0,0.000000,0.000000
109,3,464.0,0,0.000000,0.000000
110,1,0.0,0,0.000000,0.000000
