website_session_id,pageview_count,session_duration_seconds,converted,order_revenue_usd,gross_profit_usd
1,1,0.0,0,0.0,0.0
2,1,0.0,0,0.0,0.0
3,1,0.0,0,0.0,0.0
4,1,0.0,0,0.0,0.0
5,1,0.0,0,0.0,0.0
6,6,846.0,0,0.0,0.0
7,1,0.0,0,0.0,0.0
8,1,0.0,0,0.0,0.0
9,1,0.0,0,0.0,0.0
10,1,0.0,0,0.0,0.0
11,1,0.0,0,0.0,0.0
12,1,0.0,0,0.0,0.0
13,1,0.0,0,0.0,0.0
14,1,0.0,0,0.0,0.0
15,3,500.0,0,0.0,0.0
16,2,332.0,0,0.0,0.0
17,1,0.0,0,0.0,0.0
18,4,386.0,0,0.0,0.0
19,1,0.0,0,0.0,0.0
20,7,1188.0,1,49.99,30.500000000000004
21,1,0.0,0,0.0,0.0
22,1,0.0,0,0.0,0.0
23,1,0.0,0,0.0,0.0
24,1,0.0,0,0.0,0.0
25,1,0.0,0,0.0,0.0
26,1,0.0,0,0.0,0.0
27,2,345.0,0,0.0,0.0
28,1,0.0,0,0.0,0.0
29,1,0.0,0,0.0,0.0
30,2,268.0,0,0.0,0.0
31,1,0.0,0,0.0,0.0
32,1,0.0,0,0.0,0.0
33,3,128.0,0,0.0,0.0
34,3,299.0,0,0.0,0.0
35,1,0.0,0,0.0,0.0
36,1,0.0,0,0.0,0.0
37,1,0.0,0,0.0,0.0
38,1,0.0,0,0.0,0.0
39,3,229.0,0,0.0,0.0
40,3,354.0,0,0.0,0.0
41,3,104.0,0,0.0,0.0
42,3,318.0,0,0.0,0.0
43,1,0.0,0,0.0,0.0
44,1,0.0,0,0.0,0.0
45,1,0.0,0,0.0,0.0
46,4,628.0,0,0.0,0.0
47,1,0.0,0,0.0,0.0
48,2,150.0,0,0.0,0.0
49,6,801.0,0,0.0,0.0
50,1,0.0,0,0.0,0.0
51,1,0.0,0,0.0,0.0
52,3,212.0,0,0.0,0.0
53,1,0.0,0,0.0,0.0
54,3,367.0,0,0.0,0.0
55,1,0.0,0,0.0,0.0
56,1,0.0,0,0.0,0.0
57,1,0.0,0,0.0,0.0
58,5,814.0,0,0.0,0.0
59,1,0.0,0,0.0,0.0
60,1,0.0,0,0.0,0.0
61,1,0.0,0,0.0,0.0
62,2,67.0,0,0.0,0.0
63,2,133.0,0,0.0,0.0
64,2,192.0,0,0.0,0.0
65,1,0.0,0,0.0,0.0
66,1,0.0,0,0.0,0.0
67,1,0.0,0,0.0,0.0
68,1,0.0,0,0.0,0.0
69,1,0.0,0,0.0,0.0
70,1,0.0,0,0.0,0.0
71,1,0.0,0,0.0,0.0
72,1,0.0,0,0.0,0.0
73,3,359.0,0,0.0,0.0
74,1,0.0,0,0.0,0.0
75,1,0.0,0,0.0,0.0
76,3,404.0,0,0.0,0.0
77,1,0.0,0,0.0,0.0
78,1,0.0,0,0.0,0.0
79,2,330.0,0,0.0,0.0
80,1,0.0,0,0.0,0.0
81,3,408.0,0,0.0,0.0
